GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
manualsuite,com.bf1.manualsuite,TrieSET.Node,0,7,0,0,0,2,0,1,0,1
manualsuite,com.bf1.manualsuite,Strman,277,1772,68,140,62,296,68,184,8,140
manualsuite,com.bf1.manualsuite,TrieSET,13,403,7,53,2,75,8,38,1,15
manualsuite,com.bf1.manualsuite,StringWrite,5,114,4,12,1,31,4,17,0,13
